Champion,,Best Partner,Counters ,Countered by
Aatrox,48.30%,Rammus,Nasus,Kled
Aatrox,,Rammus+7.9%,Nasus+6.3%,Kled-9.3%
Top,,,,
Ahri,48.60%,Maokai,Veigar,Diana
Ahri,,Maokai+6.2%,Veigar+5.9%,Diana-6.7%
Mid,,,,
Akali,47.60%,Pantheon,Diana,Fiora
Akali,,Pantheon+6.9%,Diana+7.1%,Fiora-7.4%
"Mid, Top",,,,
Akshan,53.00%,Amumu,Talon,Yasuo
Akshan,,Amumu+9.4%,Talon+6.0%,Yasuo-6.7%
"Mid, Top",,,,
Alistar,49.10%,Kindred,Pyke,Renata Glasc
Alistar,,Kindred+8.0%,Pyke+4.6%,Renata Glasc-8.3%
Support,,,,
Amumu,52.90%,Akshan,Yuumi,Rell
Amumu,,Akshan+7.2%,Yuumi+8.4%,Rell-12.6%
"Jungler, Support",,,,
Anivia,53.10%,Bard,Azir,Zoe
Anivia,,Bard+8.2%,Azir+6.3%,Zoe-4.8%
Mid,,,,
Annie,50.30%,Vi,Yasuo,Yasuo
Annie,,Vi+6.0%,Yasuo+8.4%,Yasuo+8.4%
Mid,,,,
Aphelios,45.90%,Sona,Kai'Sa,Twitch
Aphelios,,Sona+11.4%,Kai'Sa+2.5%,Twitch-3.0%
AD Carry,,,,
Ashe,50.20%,Nilah,Yuumi,Rell
Ashe,,Nilah+6.6%,Yuumi+7.6%,Rell-5.9%
"Support, AD Carry",,,,
Aurelion Sol,44.70%,Maokai,Yasuo,Katarina
Aurelion Sol,,Maokai+7.2%,Yasuo+2.5%,Katarina-1.2%
Mid,,,,
Azir,45.60%,Ornn,Vladimir,Kassadin
Azir,,Ornn+7.8%,Vladimir+7.2%,Kassadin-6.0%
Mid,,,,
Bard,51.10%,Anivia,Senna,Soraka
Bard,,Anivia+10.2%,Senna+5.3%,Soraka-5.9%
Support,,,,
Bel'Veth,50.10%,Lissandra,Diana,Maokai
Bel'Veth,,Lissandra+6.6%,Diana+5.8%,Maokai-6.3%
Jungler,,,,
Blitzcrank,51.80%,Taliyah,Yuumi,Taric
Blitzcrank,,Taliyah+7.8%,Yuumi+9.7%,Taric-7.6%
Support,,,,
Brand,49.30%,Maokai,Pyke,Blitzcrank
Brand,,Maokai+7.3%,Pyke+3.3%,Blitzcrank-5.0%
Support,,,,
Braum,47.70%,Samira,Ashe,Karma
Braum,,Samira+5.4%,Ashe+4.8%,Karma-3.0%
Support,,,,
Caitlyn,49.50%,Jayce,Aphelios,Karthus
Caitlyn,,Jayce+7.3%,Aphelios+6.1%,Karthus-7.8%
AD Carry,,,,
Camille,50.90%,Xerath,Irelia,Urgot
Camille,,Xerath+10.0%,Irelia+6.0%,Urgot-5.9%
Top,,,,
Cassiopeia,52.80%,Olaf,Vex,Malzahar
Cassiopeia,,Olaf+8.1%,Vex+7.8%,Malzahar-4.9%
Mid,,,,
Cho'Gath,49.20%,Maokai,Gangplank,Darius
Cho'Gath,,Maokai+6.5%,Gangplank+0.8%,Darius-4.0%
"Top, Mid",,,,
Corki,46.60%,Samira,-,-
Corki,,Samira+1.3%,,
Mid,,,,
Darius,50.60%,Sona,Tryndamere,Pantheon
Darius,,Sona+7.0%,Tryndamere+5.4%,Pantheon-6.3%
Top,,,,
Diana,49.00%,Amumu,Ahri,Amumu
Diana,,Amumu+9.9%,Ahri+9.1%,Amumu-6.4%
"Jungler, Mid",,,,
Dr. Mundo,49.10%,Elise,Sion,Illaoi
Dr. Mundo,,Elise+7.8%,Sion+5.8%,Illaoi-6.3%
Top,,,,
Draven,49.80%,Nidalee,Kalista,Samira
Draven,,Nidalee+6.4%,Kalista+6.8%,Samira-5.1%
AD Carry,,,,
Ekko,50.30%,Anivia,Rek'Sai,Sylas
Ekko,,Anivia+7.4%,Rek'Sai+6.1%,Sylas-8.1%
"Jungler, Mid",,,,
Elise,52.30%,Nilah,Viego,Maokai
Elise,,Nilah+7.1%,Viego+5.6%,Maokai-6.0%
Jungler,,,,
Evelynn,50.20%,Senna,Hecarim,Fiddlesticks
Evelynn,,Senna+7.5%,Hecarim+5.9%,Fiddlesticks-5.8%
Jungler,,,,
Ezreal,48.40%,Taric,Ziggs,Tristana
Ezreal,,Taric+6.6%,Ziggs+4.8%,Tristana-3.6%
AD Carry,,,,
Fiddlesticks,52.80%,Olaf,Graves,Udyr
Fiddlesticks,,Olaf+6.3%,Graves+5.0%,Udyr-8.8%
Jungler,,,,
Fiora,50.40%,Akshan,Akali,Kayle
Fiora,,Akshan+7.0%,Akali+9.4%,Kayle-7.9%
Top,,,,
Fizz,50.40%,Rakan,Ahri,Ryze
Fizz,,Rakan+8.5%,Ahri+7.6%,Ryze-4.2%
Mid,,,,
Galio,50.80%,Master Yi,Ryze,Kassadin
Galio,,Master Yi+8.4%,Ryze+9.3%,Kassadin-3.5%
Mid,,,,
Gangplank,50.40%,Sion,Teemo,Olaf
Gangplank,,Sion+8.8%,Teemo+4.7%,Olaf-7.5%
Top,,,,
Garen,49.90%,Malzahar,Renekton,Kayle
