Index,champion,champion1,champion2,champion3,champion4,champion5,champion6,champion7,champion8,champion9,teamPosition,tier,top_champs_overall,wins,losses,winPct,veteran,freshBlood,hotStreak,win
0,Renekton,JarvanIV,Cassiopeia,Ezreal,Ashe,Quinn,Nidalee,Viktor,Varus,Velkoz,TOP,GRANDMASTER,"['JarvanIV', 'LeeSin', 'Renekton']",131.0,118.0,0.526104418,False,False,False,False
1,JarvanIV,Renekton,Cassiopeia,Ezreal,Ashe,Quinn,Nidalee,Viktor,Varus,Velkoz,JUNGLE,GRANDMASTER,"['JarvanIV', 'Elise', 'Camille']",377.0,360.0,0.511533243,False,True,False,False
2,Cassiopeia,Renekton,JarvanIV,Ezreal,Ashe,Quinn,Nidalee,Viktor,Varus,Velkoz,MIDDLE,GRANDMASTER,"['Cassiopeia', 'Yasuo', 'Zed']",70.0,55.0,0.56,False,True,True,False
3,Ezreal,Renekton,JarvanIV,Cassiopeia,Ashe,Quinn,Nidalee,Viktor,Varus,Velkoz,BOTTOM,GRANDMASTER,"['Shaco', 'Khazix', 'Ekko']",176.0,167.0,0.513119534,False,True,False,False
4,Ashe,Renekton,JarvanIV,Cassiopeia,Ezreal,Quinn,Nidalee,Viktor,Varus,Velkoz,UTILITY,DIAMOND,"['Zilean', 'Evelynn', 'Soraka']",97.0,85.0,0.532967033,False,True,False,False
0,KSante,Sylas,Yasuo,Jhin,Blitzcrank,Quinn,Shaco,Cassiopeia,Kaisa,Nautilus,TOP,DIAMOND,"['Darius', 'Aatrox', 'Mordekaiser']",8.0,4.0,0.666666667,False,False,False,False
1,Sylas,KSante,Yasuo,Jhin,Blitzcrank,Quinn,Shaco,Cassiopeia,Kaisa,Nautilus,JUNGLE,MASTER,"['LeeSin', 'Graves', 'Gangplank']",49.0,38.0,0.563218391,False,False,False,False
2,Yasuo,KSante,Sylas,Jhin,Blitzcrank,Quinn,Shaco,Cassiopeia,Kaisa,Nautilus,MIDDLE,CHALLENGER,"['Irelia', 'Yasuo', 'Akali']",108.0,90.0,0.545454545,False,False,False,False
3,Jhin,KSante,Sylas,Yasuo,Blitzcrank,Quinn,Shaco,Cassiopeia,Kaisa,Nautilus,BOTTOM,GRANDMASTER,"['Sylas', 'Kindred', 'Graves']",142.0,133.0,0.516363636,False,False,False,False
4,Blitzcrank,KSante,Sylas,Yasuo,Jhin,Quinn,Shaco,Cassiopeia,Kaisa,Nautilus,UTILITY,GRANDMASTER,"['Darius', 'Renekton', 'Blitzcrank']",131.0,118.0,0.526104418,True,False,False,False
0,Nidalee,Graves,Galio,Caitlyn,Karma,KSante,Rengar,Ahri,Kindred,Rakan,TOP,GRANDMASTER,"['Nidalee', 'Jayce', 'Rumble']",272.0,238.0,0.533333333,False,True,True,True
1,Graves,Nidalee,Galio,Caitlyn,Karma,KSante,Rengar,Ahri,Kindred,Rakan,JUNGLE,GRANDMASTER,"['Sylas', 'Kindred', 'Graves']",142.0,133.0,0.516363636,False,False,False,True
2,Galio,Nidalee,Graves,Caitlyn,Karma,KSante,Rengar,Ahri,Kindred,Rakan,MIDDLE,GRANDMASTER,"['Galio', 'Yasuo', 'Sylas']",91.0,67.0,0.575949367,False,True,False,True
3,Caitlyn,Nidalee,Graves,Galio,Karma,KSante,Rengar,Ahri,Kindred,Rakan,BOTTOM,GRANDMASTER,"['Shaco', 'Khazix', 'Ekko']",176.0,167.0,0.513119534,False,True,False,True
4,Karma,Nidalee,Graves,Galio,Caitlyn,KSante,Rengar,Ahri,Kindred,Rakan,UTILITY,MASTER,"['Amumu', 'Draven', 'Twitch']",88.0,64.0,0.578947368,False,False,False,True
0,Jayce,Vi,Galio,Xayah,Rakan,Kled,Shaco,Nasus,Ziggs,Velkoz,TOP,GRANDMASTER,"['Nidalee', 'Jayce', 'Rumble']",272.0,238.0,0.533333333,False,True,True,False
1,Vi,Jayce,Galio,Xayah,Rakan,Kled,Shaco,Nasus,Ziggs,Velkoz,JUNGLE,GRANDMASTER,"['Elise', 'Fiora', 'Vi']",168.0,149.0,0.529968454,False,True,False,False
2,Galio,Jayce,Vi,Xayah,Rakan,Kled,Shaco,Nasus,Ziggs,Velkoz,MIDDLE,GRANDMASTER,"['Galio', 'Yasuo', 'Sylas']",91.0,67.0,0.575949367,False,True,False,False
3,Xayah,Jayce,Vi,Galio,Rakan,Kled,Shaco,Nasus,Ziggs,Velkoz,BOTTOM,MASTER,"['Ezreal', 'Kaisa', 'Tristana']",176.0,160.0,0.523809524,False,True,False,False
4,Rakan,Jayce,Vi,Galio,Xayah,Kled,Shaco,Nasus,Ziggs,Velkoz,UTILITY,PLATINUM,"['Yasuo', 'Blitzcrank', 'Leona']",91.0,76.0,0.54491018,False,False,True,False
0,Illaoi,Shaco,Yone,Chogath,Senna,Jayce,Fiddlesticks,Akali,MissFortune,Jhin,TOP,MASTER,"['Illaoi', 'Darius', 'Teemo']",89.0,69.0,0.563291139,False,True,False,True
1,Shaco,Illaoi,Yone,Chogath,Senna,Jayce,Fiddlesticks,Akali,MissFortune,Jhin,JUNGLE,GRANDMASTER,"['Shaco', 'Khazix', 'Ekko']",176.0,167.0,0.513119534,False,True,False,True
2,Yone,Illaoi,Shaco,Chogath,Senna,Jayce,Fiddlesticks,Akali,MissFortune,Jhin,MIDDLE,MASTER,"['Zed', 'Cassiopeia', 'Irelia']",89.0,86.0,0.508571429,False,True,False,True
3,Chogath,Illaoi,Shaco,Yone,Senna,Jayce,Fiddlesticks,Akali,MissFortune,Jhin,BOTTOM,GRANDMASTER,"['Varus', 'Ezreal', 'Sylas']",118.0,127.0,0.481632653,False,True,False,True
4,Senna,Illaoi,Shaco,Yone,Chogath,Jayce,Fiddlesticks,Akali,MissFortune,Jhin,UTILITY,SILVER,"['Senna', 'Thresh', 'Ezreal']",6.0,4.0,0.6,False,False,False,True
0,Sett,LeeSin,Orianna,Jhin,Zoe,Ornn,Shaco,Taliyah,Varus,Nautilus,TOP,DIAMOND,"['Aatrox', 'Darius', 'Sett']",9.0,1.0,0.9,False,False,True,True
1,LeeSin,Sett,Orianna,Jhin,Zoe,Ornn,Shaco,Taliyah,Varus,Nautilus,JUNGLE,GRANDMASTER,"['LeeSin', 'Graves', 'Elise']",59.0,39.0,0.602040816,False,True,False,True
2,Orianna,Sett,LeeSin,Jhin,Zoe,Ornn,Shaco,Taliyah,Varus,Nautilus,MIDDLE,GRANDMASTER,"['Riven', 'Twitch', 'Veigar']",140.0,129.0,0.520446097,False,True,False,True
3,Jhin,Sett,LeeSin,Orianna,Zoe,Ornn,Shaco,Taliyah,Varus,Nautilus,UTILITY,GRANDMASTER,"['Kaisa', 'Caitlyn', 'Aphelios']",201.0,182.0,0.524804178,False,False,False,True
4,Zoe,Sett,LeeSin,Orianna,Jhin,Ornn,Shaco,Taliyah,Varus,Nautilus,BOTTOM,CHALLENGER,"['LeeSin', 'Ezreal', 'Lucian']",226.0,206.0,0.523148148,False,False,True,True
0,LeeSin,Kled,Lux,Samira,Orianna,Viego,Kaisa,Pyke,Mordekaiser,Katarina,JUNGLE,DIAMOND,"['Yasuo', 'MasterYi', 'Rengar']",9.0,8.0,0.529411765,False,False,False,True
2,Lux,LeeSin,Kled,Samira,Orianna,Viego,Kaisa,Pyke,Mordekaiser,Katarina,UTILITY,GOLD,"['Rakan', 'Darius', 'Annie']",29.0,28.0,0.50877193,False,False,False,True
3,Samira,LeeSin,Kled,Lux,Orianna,Viego,Kaisa,Pyke,Mordekaiser,Katarina,BOTTOM,GOLD,"['Mordekaiser', 'Samira', 'Katarina']",29.0,22.0,0.568627451,False,False,False,True
4,Orianna,LeeSin,Kled,Lux,Samira,Viego,Kaisa,Pyke,Mordekaiser,Katarina,MIDDLE,PLATINUM,"['Twitch', 'Varus', 'Jayce']",10.0,8.0,0.555555556,False,False,False,True
0,Kayle,Ivern,Talon,Annie,Swain,Renekton,Zed,AurelionSol,Zeri,Senna,TOP,DIAMOND,"['Draven', 'Udyr', 'Vayne']",16.0,12.0,0.571428571,False,True,False,False
1,Ivern,Kayle,Talon,Annie,Swain,Renekton,Zed,AurelionSol,Zeri,Senna,JUNGLE,PLATINUM,"['Yasuo', 'Shaco', 'Ezreal']",60.0,44.0,0.576923077,False,False,False,False
3,Annie,Kayle,Ivern,Talon,Swain,Renekton,Zed,AurelionSol,Zeri,Senna,BOTTOM,PLATINUM,"['Jinx', 'Leblanc', 'Zed']",27.0,30.0,0.473684211,False,False,False,False
4,Swain,Kayle,Ivern,Talon,Annie,Renekton,Zed,AurelionSol,Zeri,Senna,UTILITY,SILVER,"['Blitzcrank', 'Singed', 'Rengar']",25.0,18.0,0.581395349,False,False,False,False
0,Jax,Shaco,Irelia,Aphelios,Twitch,Gragas,LeeSin,Orianna,Sivir,Bard,TOP,GRANDMASTER,"['Camille', 'Fiora', 'Jax']",62.0,50.0,0.553571429,False,False,False,False
1,Shaco,Jax,Irelia,Aphelios,Twitch,Gragas,LeeSin,Orianna,Sivir,Bard,JUNGLE,GRANDMASTER,"['Shaco', 'Khazix', 'Ekko']",176.0,167.0,0.513119534,False,True,False,False
2,Irelia,Jax,Shaco,Aphelios,Twitch,Gragas,LeeSin,Orianna,Sivir,Bard,MIDDLE,GRANDMASTER,"['Sylas', 'Leblanc', 'Ryze']",114.0,89.0,0.561576355,False,True,False,False
3,Aphelios,Jax,Shaco,Irelia,Twitch,Gragas,LeeSin,Orianna,Sivir,Bard,BOTTOM,MASTER,"['Graves', 'Khazix', 'Rengar']",17.0,12.0,0.586206897,False,True,True,False
4,Twitch,Jax,Shaco,Irelia,Aphelios,Gragas,LeeSin,Orianna,Sivir,Bard,UTILITY,GRANDMASTER,"['Twitch', 'Riven', 'Draven']",44.0,37.0,0.543209877,False,True,False,False
0,Shen,Khazix,Gragas,Sivir,Azir,Olaf,JarvanIV,Kindred,Tristana,Bard,TOP,MASTER,"['LeeSin', 'Shen', 'Shaco']",138.0,96.0,0.58974359,False,True,False,True
1,Khazix,Shen,Gragas,Sivir,Azir,Olaf,JarvanIV,Kindred,Tristana,Bard,JUNGLE,GRANDMASTER,"['Shaco', 'Khazix', 'Ekko']",176.0,167.0,0.513119534,False,True,False,True
2,Gragas,Shen,Khazix,Sivir,Azir,Olaf,JarvanIV,Kindred,Tristana,Bard,MIDDLE,GRANDMASTER,"['Kayn', 'Viego', 'Graves']",35.0,13.0,0.729166667,False,True,False,True
3,Sivir,Shen,Khazix,Gragas,Azir,Olaf,JarvanIV,Kindred,Tristana,Bard,BOTTOM,GRANDMASTER,"['Jhin', 'Ezreal', 'Kaisa']",40.0,28.0,0.588235294,False,True,False,True
4,Azir,Shen,Khazix,Gragas,Sivir,Olaf,JarvanIV,Kindred,Tristana,Bard,UTILITY,GRANDMASTER,"['Rumble', 'Jayce', 'Camille']",156.0,140.0,0.527027027,False,True,False,True
0,Olaf,Khazix,Irelia,Ziggs,Ashe,Jax,Evelynn,Kayle,Varus,Caitlyn,TOP,GRANDMASTER,"['Olaf', 'Jayce', 'Lucian']",118.0,109.0,0.519823789,False,False,False,True
1,Khazix,Olaf,Irelia,Ziggs,Ashe,Jax,Evelynn,Kayle,Varus,Caitlyn,JUNGLE,GRANDMASTER,"['Shaco', 'Khazix', 'Ekko']",176.0,167.0,0.513119534,False,True,False,True
2,Irelia,Olaf,Khazix,Ziggs,Ashe,Jax,Evelynn,Kayle,Varus,Caitlyn,MIDDLE,GRANDMASTER,"['Irelia', 'Jayce', 'Azir']",116.0,108.0,0.517857143,False,False,True,True
3,Ziggs,Olaf,Khazix,Irelia,Ashe,Jax,Evelynn,Kayle,Varus,Caitlyn,BOTTOM,MASTER,"['Caitlyn', 'Jhin', 'MissFortune']",63.0,54.0,0.538461538,False,True,False,True
0,Yasuo,MonkeyKing,Annie,Veigar,Alistar,Riven,Shaco,Irelia,Xayah,Rakan,TOP,GRANDMASTER,"['Yasuo', 'Aatrox', 'Darius']",141.0,128.0,0.524163569,False,True,False,False
1,MonkeyKing,Yasuo,Annie,Veigar,Alistar,Riven,Shaco,Irelia,Xayah,Rakan,JUNGLE,GRANDMASTER,"['Hecarim', 'Graves', 'LeeSin']",110.0,99.0,0.526315789,False,True,True,False
2,Annie,Yasuo,MonkeyKing,Veigar,Alistar,Riven,Shaco,Irelia,Xayah,Rakan,MIDDLE,MASTER,"['Katarina', 'Annie', 'Fizz']",31.0,23.0,0.574074074,False,False,False,False
3,Veigar,Yasuo,MonkeyKing,Annie,Alistar,Riven,Shaco,Irelia,Xayah,Rakan,BOTTOM,SILVER,"['Vayne', 'Jinx', 'Veigar']",6.0,2.0,0.75,False,False,False,False
4,Alistar,Yasuo,MonkeyKing,Annie,Veigar,Riven,Shaco,Irelia,Xayah,Rakan,UTILITY,MASTER,"['Shaco', 'Kennen', 'Vladimir']",290.0,244.0,0.543071161,False,True,True,False
