id,difficulty,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,Best_Partner_encoded,Counters_encoded,Countered_by_encoded,id_encoded
Aatrox,0.3999999999999999,0.8391608391608393,0.7000000000000002,0.0,0.0,0.6666666666666666,0.7,0.8090909090909092,0.588235294117647,0.6551724137931033,0.09523809523809529,0.06666666666666671,0.7058823529411764,0.0,0.0,0.625,1.0,0.4166666666666667,0.46933333333333344,98,82,62,0
Ahri,0.49999999999999994,0.5594405594405595,0.3400000000000001,0.041800000000000004,0.2873563218390805,0.16666666666666669,0.03333333333333327,0.8545454545454546,0.4705882352941176,0.13793103448275862,0.8095238095238095,0.0,0.23529411764705876,0.16,0.8,0.40625,0.6,0.33333333333333337,0.5146666666666668,75,139,23,1
Akali,0.7,0.5594405594405595,0.8000000000000002,0.02,0.0,0.6666666666666666,0.19999999999999996,0.8545454545454546,0.8823529411764706,0.6551724137931033,0.0,0.8666666666666667,0.588235294117647,1.0,0.0,0.6875,0.66,0.5333333333333334,0.4000000000000001,92,23,31,2
Akshan,0.0,0.7692307692307693,0.5000000000000001,0.035,0.4597701149425288,0.16666666666666669,0.29999999999999993,0.7636363636363637,0.4705882352941176,0.13793103448275862,0.7142857142857144,0.16666666666666674,0.29411764705882354,0.164,0.7,0.375,0.7000000000000001,0.6666666666666667,0.43466666666666676,5,126,151,3
Alistar,0.7,0.9090909090909092,0.8200000000000001,0.035,0.4597701149425288,0.16666666666666669,0.8999999999999999,0.8545454545454546,0.588235294117647,0.6551724137931033,0.0,0.8,0.5294117647058822,0.17,0.8,0.6875,0.75,0.3541666666666667,0.4000000000000001,61,94,101,4
Amumu,0.29999999999999993,0.9615384615384617,0.4200000000000001,0.028500000000000004,0.4597701149425288,0.3333333333333333,0.43333333333333324,0.7636363636363637,0.588235294117647,0.6551724137931033,0.0,0.8666666666666667,0.5294117647058822,0.14800000000000002,0.55,0.40625,0.76,0.3633333333333334,0.6960000000000001,3,154,100,5
Anivia,1.0,0.4895104895104896,0.3400000000000001,0.0495,0.5172413793103449,0.0,0.1333333333333333,0.9454545454545455,0.4705882352941176,0.13793103448275862,0.9047619047619049,0.4,0.17647058823529416,0.16,0.8,0.34375,0.64,0.28,0.4000000000000001,12,11,160,6
Annie,0.6,0.6433566433566434,0.4600000000000001,0.041800000000000004,0.2873563218390805,0.3333333333333333,0.06666666666666665,0.9454545454545455,0.4705882352941176,0.13793103448275862,0.9523809523809524,0.4,0.17647058823529416,0.16,0.8,0.3125,0.53,0.22666666666666668,0.27733333333333327,142,151,151,7
Aphelios,1.0,0.5944055944055945,0.4600000000000001,0.034800000000000005,0.48275862068965525,0.0,0.29999999999999993,0.7636363636363637,0.4705882352941176,0.13793103448275862,0.8095238095238095,0.10000000000000003,0.17647058823529416,0.13,0.4,0.46875,0.6,0.35000000000000003,0.4400000000000001,119,51,134,8
Ashe,0.3999999999999999,0.8041958041958043,0.44000000000000006,0.028000000000000004,0.4022988505747127,0.0,0.29999999999999993,0.8363636363636363,0.4705882352941176,0.13793103448275862,0.9047619047619049,0.13333333333333336,0.17647058823529416,0.14,0.65,0.59375,0.5900000000000001,0.555,0.48800000000000016,86,154,100,9
AurelionSol,0.7,0.7342657342657344,0.5200000000000001,0.053000000000000005,0.4597701149425288,0.3333333333333333,0.16666666666666663,0.8727272727272727,0.4705882352941176,0.13793103448275862,0.8095238095238095,0.4,0.17647058823529416,0.16,0.75,0.46875,0.64,0.25,0.4000000000000001,75,151,56,10
Azir,0.8999999999999999,0.7412587412587414,0.8000000000000002,0.048,0.24137931034482762,0.3333333333333333,0.06666666666666665,0.7636363636363637,0.4705882352941176,0.13793103448275862,0.761904761904762,0.6000000000000001,0.4117647058823529,0.16,0.8,0.375,0.5599999999999999,0.5,0.4000000000000001,91,145,55,11
Bard,0.8999999999999999,0.7692307692307693,0.4800000000000001,0.035,0.574712643678161,0.16666666666666669,0.5666666666666667,0.9454545454545455,0.4705882352941176,0.13793103448275862,0.7142857142857144,0.4,0.17647058823529416,0.12,0.45,0.375,0.6,0.33333333333333337,0.4000000000000001,6,109,120,12
Belveth,1.0,0.6993006993006994,0.4000000000000001,0.006000000000000005,0.0,0.5,0.4999999999999999,0.8545454545454546,0.588235294117647,0.6551724137931033,0.09523809523809529,0.46666666666666673,0.23529411764705876,0.0,0.0,0.625,0.33999999999999997,0.0,1.0,69,23,75,13
Blitzcrank,0.3999999999999999,0.7797202797202798,0.6000000000000001,0.0267,0.4597701149425288,0.0,0.7666666666666666,0.8545454545454546,0.3529411764705882,0.6551724137931033,0.0,0.6666666666666667,0.4117647058823529,0.17,0.8,0.6875,0.7000000000000001,0.18833333333333332,0.4666666666666668,125,154,127,14
Brand,0.3999999999999999,0.6293706293706294,0.4600000000000001,0.046900000000000004,0.24137931034482762,0.5,0.16666666666666663,0.8545454545454546,0.4705882352941176,0.13793103448275862,0.8095238095238095,0.4,0.17647058823529416,0.21300000000000002,0.6,0.53125,0.6,0.22666666666666668,0.4000000000000001,75,94,14,15
Braum,0.29999999999999993,0.6993006993006994,0.6600000000000001,0.031100000000000003,0.5172413793103449,0.3333333333333333,0.9999999999999998,0.9454545454545455,0.588235294117647,0.6551724137931033,0.0,0.8,0.7058823529411764,0.12,0.8,0.46875,0.64,0.5833333333333334,0.45066666666666677,107,9,53,16
Caitlyn,0.6,0.5944055944055945,0.56,0.0315,0.4597701149425288,0.0,0.3666666666666666,0.8545454545454546,0.4705882352941176,0.13793103448275862,1.0,0.13333333333333336,0.17647058823529416,0.14800000000000002,0.7,0.6875,0.76,0.6666666666666667,0.5493333333333336,48,8,54,17
Camille,0.3999999999999999,0.8251748251748252,0.4000000000000001,0.0339,0.5977011494252874,0.5,0.5999999999999999,0.9090909090909091,0.588235294117647,0.6551724137931033,0.0,0.8,0.47058823529411764,0.163,0.75,0.875,0.7000000000000001,0.4166666666666667,0.45066666666666677,149,43,136,18
