,champion,champion1,champion2,champion3,champion4,champion5,champion6,champion7,champion8,champion9,teamPosition,tier,top_champs_overall,wins,losses,winPct,veteran,freshBlood,hotStreak,win
0,Renekton,JarvanIV,Cassiopeia,Ezreal,Ashe,Quinn,Nidalee,Viktor,Varus,Velkoz,TOP,GRANDMASTER,"['JarvanIV', 'LeeSin', 'Renekton']",131,118,0.526104418,FALSE,FALSE,FALSE,FALSE
1,JarvanIV,Renekton,Cassiopeia,Ezreal,Ashe,Quinn,Nidalee,Viktor,Varus,Velkoz,JUNGLE,GRANDMASTER,"['JarvanIV', 'Elise', 'Camille']",377,360,0.511533243,FALSE,TRUE,FALSE,FALSE
2,Cassiopeia,Renekton,JarvanIV,Ezreal,Ashe,Quinn,Nidalee,Viktor,Varus,Velkoz,MIDDLE,GRANDMASTER,"['Cassiopeia', 'Yasuo', 'Zed']",70,55,0.56,FALSE,TRUE,TRUE,FALSE
3,Ezreal,Renekton,JarvanIV,Cassiopeia,Ashe,Quinn,Nidalee,Viktor,Varus,Velkoz,BOTTOM,GRANDMASTER,"['Shaco', 'Khazix', 'Ekko']",176,167,0.513119534,FALSE,TRUE,FALSE,FALSE
4,Ashe,Renekton,JarvanIV,Cassiopeia,Ezreal,Quinn,Nidalee,Viktor,Varus,Velkoz,UTILITY,DIAMOND,"['Zilean', 'Evelynn', 'Soraka']",97,85,0.532967033,FALSE,TRUE,FALSE,FALSE
0,KSante,Sylas,Yasuo,Jhin,Blitzcrank,Quinn,Shaco,Cassiopeia,Kaisa,Nautilus,TOP,DIAMOND,"['Darius', 'Aatrox', 'Mordekaiser']",8,4,0.666666667,FALSE,FALSE,FALSE,FALSE
1,Sylas,KSante,Yasuo,Jhin,Blitzcrank,Quinn,Shaco,Cassiopeia,Kaisa,Nautilus,JUNGLE,MASTER,"['LeeSin', 'Graves', 'Gangplank']",49,38,0.563218391,FALSE,FALSE,FALSE,FALSE
2,Yasuo,KSante,Sylas,Jhin,Blitzcrank,Quinn,Shaco,Cassiopeia,Kaisa,Nautilus,MIDDLE,CHALLENGER,"['Irelia', 'Yasuo', 'Akali']",108,90,0.545454545,FALSE,FALSE,FALSE,FALSE
3,Jhin,KSante,Sylas,Yasuo,Blitzcrank,Quinn,Shaco,Cassiopeia,Kaisa,Nautilus,BOTTOM,GRANDMASTER,"['Sylas', 'Kindred', 'Graves']",142,133,0.516363636,FALSE,FALSE,FALSE,FALSE
4,Blitzcrank,KSante,Sylas,Yasuo,Jhin,Quinn,Shaco,Cassiopeia,Kaisa,Nautilus,UTILITY,GRANDMASTER,"['Darius', 'Renekton', 'Blitzcrank']",131,118,0.526104418,TRUE,FALSE,FALSE,FALSE
